-69.538, -0.723, 41.617
-67.581, -0.337, 99.063
-65.652, 0.189, 99.61
-63.73, 0.743, 99.792
-61.813, 1.312, 99.85
-59.898, 1.891, 99.898
-57.986, 2.476, 99.917
-56.075, 3.067, 99.93
-54.166, 3.662, 99.941
-52.258, 4.261, 99.946
-50.35, 4.864, 99.947
-48.444, 5.469, 99.941
-46.823, 6.273, 100
-46.944, 8.269, 100
-47.065, 10.265, 100
-47.186, 12.262, 100
-47.307, 14.258, 100
-47.428, 16.254, 100
-47.549, 18.251, 100
-47.67, 20.247, 100
-47.791, 22.243, 100
-46.64, 23.08, 100
-44.641, 23.144, 100
-42.642, 23.207, 100
-40.643, 23.271, 100
-38.644, 23.335, 100
-36.645, 23.399, 100
-34.646, 23.463, 100
-32.647, 23.526, 100
-30.648, 23.59, 100
-28.649, 23.654, 100
-26.65, 23.718, 100
-24.651, 23.782, 100
-22.746, 24.218, 100
-20.953, 25.105, 100
-19.16, 25.991, 100
-17.367, 26.878, 100
-15.574, 27.765, 100
-13.782, 28.651, 100
-11.989, 29.538, 100
-10.196, 30.424, 100
-8.403, 31.311, 100
-6.611, 32.197, 100
-4.818, 33.084, 100
-3.025, 33.97, 100
-1.232, 34.857, 100
0.561, 35.743, 100
2.353, 36.63, 100
4.146, 37.516, 100
5.939, 38.403, 100
7.732, 39.29, 100
9.524, 40.176, 100
11.317, 41.063, 100
13.11, 41.949, 100
14.903, 42.836, 100
16.696, 43.722, 100
18.488, 44.609, 100
20.281, 45.495, 100
22.074, 46.382, 100
23.865, 47.272, 100
25.65, 48.174, 100
27.435, 49.076, 100
29.22, 49.978, 100
31.005, 50.88, 100
32.79, 51.782, 100
34.575, 52.685, 100
36.36, 53.587, 100
38.145, 54.489, 100
39.93, 55.391, 100
41.715, 56.293, 100
43.5, 57.195, 100
45.285, 58.097, 100
47.07, 58.999, 100
45.956, 58.952, 100
43.984, 58.623, 100
42.011, 58.294, 100
40.038, 57.965, 100
38.065, 57.637, 100
36.092, 57.308, 100
34.12, 56.979, 100
32.147, 56.65, 100
30.174, 56.321, 100
28.201, 55.993, 100
26.229, 55.664, 100
24.256, 55.335, 100
22.283, 55.006, 100
20.31, 54.678, 100
18.337, 54.349, 100
16.365, 54.02, 100
14.392, 53.691, 100
12.419, 53.362, 100
10.446, 53.034, 100
8.473, 52.705, 100
6.501, 52.376, 100
4.528, 52.047, 100
2.555, 51.718, 100
0.582, 51.39, 100
-1.391, 51.061, 100
-3.363, 50.732, 100
-5.336, 50.403, 100
-7.309, 50.074, 100
-9.282, 49.746, 100
-11.254, 49.417, 100
-13.227, 49.088, 100
-15.2, 48.759, 100
-17.173, 48.43, 100
-19.146, 48.102, 100
-21.118, 47.773, 100
-23.091, 47.444, 100
-25.081, 47.309, 100
-27.081, 47.286, 100
-29.081, 47.264, 100
